,plant_id,month,year,Source,Generation
1049,40,1,2019,MW_gen,24.05
1051,40,2,2019,MW_gen,28.01
1053,40,3,2019,MW_gen,60.29
1055,40,4,2019,MW_gen,58.5
1057,40,5,2019,MW_gen,76.8
1059,40,6,2019,MW_gen,95.48
1061,40,7,2019,MW_gen,97.13
1063,40,8,2019,MW_gen,94.07
1065,40,9,2019,MW_gen,67.33
1067,40,10,2019,MW_gen,51.47
1069,40,11,2019,MW_gen,22.33
1071,40,12,2019,MW_gen,13.91
2121,40,1,2019,weather_adj,
2123,40,2,2019,weather_adj,
2125,40,3,2019,weather_adj,
2127,40,4,2019,weather_adj,
2129,40,5,2019,weather_adj,
2131,40,6,2019,weather_adj,
2133,40,7,2019,weather_adj,
2135,40,8,2019,weather_adj,
2137,40,9,2019,weather_adj,
2139,40,10,2019,weather_adj,
2141,40,11,2019,weather_adj,
2143,40,12,2019,weather_adj,
3193,40,1,2019,pv_syst,34.56
3195,40,2,2019,pv_syst,46.56
3197,40,3,2019,pv_syst,61.67
3199,40,4,2019,pv_syst,69.62
3201,40,5,2019,pv_syst,81.59
3203,40,6,2019,pv_syst,86.12
3205,40,7,2019,pv_syst,87.69
3207,40,8,2019,pv_syst,77.08
3209,40,9,2019,pv_syst,64.07
3211,40,10,2019,pv_syst,45.96
3213,40,11,2019,pv_syst,26.97
3215,40,12,2019,pv_syst,25.84
