,plant_id,month,year,Source,Generation
864,37,1,2019,MW_gen,8.46
865,37,2,2019,MW_gen,10.75
866,37,3,2019,MW_gen,27.55
867,37,4,2019,MW_gen,27.28
868,37,5,2019,MW_gen,35.38
869,37,6,2019,MW_gen,44.83
870,37,7,2019,MW_gen,46.98
871,37,8,2019,MW_gen,44.09
872,37,9,2019,MW_gen,30.17
873,37,10,2019,MW_gen,24.37
874,37,11,2019,MW_gen,9.38
875,37,12,2019,MW_gen,3.78
1936,37,1,2019,weather_adj,10.44
1937,37,2,2019,weather_adj,10.98
1938,37,3,2019,weather_adj,27.39
1939,37,4,2019,weather_adj,27.82
1940,37,5,2019,weather_adj,35.41
1941,37,6,2019,weather_adj,44.62
1942,37,7,2019,weather_adj,46.52
1943,37,8,2019,weather_adj,44.84
1944,37,9,2019,weather_adj,31.18
1945,37,10,2019,weather_adj,26.73
1946,37,11,2019,weather_adj,8.7
1947,37,12,2019,weather_adj,3.8
3008,37,1,2019,pv_syst,13.37
3009,37,2,2019,pv_syst,18.47
3010,37,3,2019,pv_syst,30.33
3011,37,4,2019,pv_syst,36.99
3012,37,5,2019,pv_syst,43.08
3013,37,6,2019,pv_syst,46.24
3014,37,7,2019,pv_syst,47.17
3015,37,8,2019,pv_syst,41.01
3016,37,9,2019,pv_syst,31.05
3017,37,10,2019,pv_syst,23.25
3018,37,11,2019,pv_syst,12.27
3019,37,12,2019,pv_syst,10.2
