,plant_id,month,year,Source,Generation
852,36,1,2019,MW_gen,10.26
853,36,2,2019,MW_gen,14.66
854,36,3,2019,MW_gen,36.25
855,36,4,2019,MW_gen,35.86
856,36,5,2019,MW_gen,46.55
857,36,6,2019,MW_gen,56.3
858,36,7,2019,MW_gen,59.86
859,36,8,2019,MW_gen,49.1
860,36,9,2019,MW_gen,40.42
861,36,10,2019,MW_gen,27.03
862,36,11,2019,MW_gen,9.0
863,36,12,2019,MW_gen,5.16
1924,36,1,2019,weather_adj,13.77
1925,36,2,2019,weather_adj,14.14
1926,36,3,2019,weather_adj,36.1
1927,36,4,2019,weather_adj,35.77
1928,36,5,2019,weather_adj,43.39
1929,36,6,2019,weather_adj,57.6
1930,36,7,2019,weather_adj,60.03
1931,36,8,2019,weather_adj,58.25
1932,36,9,2019,weather_adj,40.29
1933,36,10,2019,weather_adj,33.43
1934,36,11,2019,weather_adj,15.79
1935,36,12,2019,weather_adj,5.13
2996,36,1,2019,pv_syst,17.67
2997,36,2,2019,pv_syst,23.81
2998,36,3,2019,pv_syst,39.44
2999,36,4,2019,pv_syst,47.35
3000,36,5,2019,pv_syst,55.26
3001,36,6,2019,pv_syst,59.32
3002,36,7,2019,pv_syst,60.58
3003,36,8,2019,pv_syst,52.92
3004,36,9,2019,pv_syst,40.16
3005,36,10,2019,pv_syst,30.19
3006,36,11,2019,pv_syst,15.92
3007,36,12,2019,pv_syst,13.0
