,plant_id,month,year,Source,Generation
888,39,1,2019,MW_gen,4.94
889,39,2,2019,MW_gen,6.11
890,39,3,2019,MW_gen,17.3
891,39,4,2019,MW_gen,16.52
892,39,5,2019,MW_gen,21.6
893,39,6,2019,MW_gen,26.3
894,39,7,2019,MW_gen,27.93
895,39,8,2019,MW_gen,25.08
896,39,9,2019,MW_gen,18.05
897,39,10,2019,MW_gen,14.77
898,39,11,2019,MW_gen,5.89
899,39,12,2019,MW_gen,2.73
1960,39,1,2019,weather_adj,5.99
1961,39,2,2019,weather_adj,6.35
1962,39,3,2019,weather_adj,15.78
1963,39,4,2019,weather_adj,15.78
1964,39,5,2019,weather_adj,20.1
1965,39,6,2019,weather_adj,25.25
1966,39,7,2019,weather_adj,27.55
1967,39,8,2019,weather_adj,25.34
1968,39,9,2019,weather_adj,17.7
1969,39,10,2019,weather_adj,11.65
1970,39,11,2019,weather_adj,5.95
1971,39,12,2019,weather_adj,2.79
3032,39,1,2019,pv_syst,7.68
3033,39,2,2019,pv_syst,10.67
3034,39,3,2019,pv_syst,17.48
3035,39,4,2019,pv_syst,20.98
3036,39,5,2019,pv_syst,24.46
3037,39,6,2019,pv_syst,26.16
3038,39,7,2019,pv_syst,26.51
3039,39,8,2019,pv_syst,23.18
3040,39,9,2019,pv_syst,17.63
3041,39,10,2019,pv_syst,13.36
3042,39,11,2019,pv_syst,7.02
3043,39,12,2019,pv_syst,5.83
