,plant_id,month,year,Source,Generation
1048,41,1,2019,MW_gen,9.99
1050,41,2,2019,MW_gen,10.42
1052,41,3,2019,MW_gen,13.07
1054,41,4,2019,MW_gen,29.77
1056,41,5,2019,MW_gen,36.05
1058,41,6,2019,MW_gen,44.49
1060,41,7,2019,MW_gen,46.09
1062,41,8,2019,MW_gen,44.31
1064,41,9,2019,MW_gen,29.9
1066,41,10,2019,MW_gen,23.9
1068,41,11,2019,MW_gen,7.73
1070,41,12,2019,MW_gen,6.27
2120,41,1,2019,weather_adj,
2122,41,2,2019,weather_adj,
2124,41,3,2019,weather_adj,
2126,41,4,2019,weather_adj,
2128,41,5,2019,weather_adj,
2130,41,6,2019,weather_adj,
2132,41,7,2019,weather_adj,
2134,41,8,2019,weather_adj,
2136,41,9,2019,weather_adj,
2138,41,10,2019,weather_adj,
2140,41,11,2019,weather_adj,
2142,41,12,2019,weather_adj,
3192,41,1,2019,pv_syst,13.03
3194,41,2,2019,pv_syst,18.68
3196,41,3,2019,pv_syst,27.72
3198,41,4,2019,pv_syst,33.86
3200,41,5,2019,pv_syst,39.36
3202,41,6,2019,pv_syst,39.71
3204,41,7,2019,pv_syst,40.65
3206,41,8,2019,pv_syst,37.1
3208,41,9,2019,pv_syst,30.58
3210,41,10,2019,pv_syst,22.46
3212,41,11,2019,pv_syst,13.88
3214,41,12,2019,pv_syst,10.93
