,plant_id,month,year,Source,Generation
816,33,1,2019,MW_gen,14.7
817,33,2,2019,MW_gen,17.42
818,33,3,2019,MW_gen,41.01
819,33,4,2019,MW_gen,39.34
820,33,5,2019,MW_gen,55.41
821,33,6,2019,MW_gen,74.59
822,33,7,2019,MW_gen,82.38
823,33,8,2019,MW_gen,75.38
824,33,9,2019,MW_gen,47.18
825,33,10,2019,MW_gen,35.77
826,33,11,2019,MW_gen,11.88
827,33,12,2019,MW_gen,5.64
1888,33,1,2019,weather_adj,6.74
1889,33,2,2019,weather_adj,16.85
1890,33,3,2019,weather_adj,37.71
1891,33,4,2019,weather_adj,52.27
1892,33,5,2019,weather_adj,56.35
1893,33,6,2019,weather_adj,69.18
1894,33,7,2019,weather_adj,77.12
1895,33,8,2019,weather_adj,73.69
1896,33,9,2019,weather_adj,45.49
1897,33,10,2019,weather_adj,32.85
1898,33,11,2019,weather_adj,11.78
1899,33,12,2019,weather_adj,7.29
2960,33,1,2019,pv_syst,8.74
2961,33,2,2019,pv_syst,20.51
2962,33,3,2019,pv_syst,44.96
2963,33,4,2019,pv_syst,60.63
2964,33,5,2019,pv_syst,68.56
2965,33,6,2019,pv_syst,73.88
2966,33,7,2019,pv_syst,77.08
2967,33,8,2019,pv_syst,66.07
2968,33,9,2019,pv_syst,49.21
2969,33,10,2019,pv_syst,36.26
2970,33,11,2019,pv_syst,19.71
2971,33,12,2019,pv_syst,11.61
