,plant_id,month,year,Source,Generation
684,22,1,2019,MW_gen,2.37
685,22,2,2019,MW_gen,16.33
686,22,3,2019,MW_gen,62.29
687,22,4,2019,MW_gen,69.46
688,22,5,2019,MW_gen,77.44
689,22,6,2019,MW_gen,91.48
690,22,7,2019,MW_gen,101.9
691,22,8,2019,MW_gen,94.74
692,22,9,2019,MW_gen,66.16
693,22,10,2019,MW_gen,48.83
694,22,11,2019,MW_gen,23.11
695,22,12,2019,MW_gen,21.91
1756,22,1,2019,weather_adj,0.83
1757,22,2,2019,weather_adj,9.95
1758,22,3,2019,weather_adj,57.36
1759,22,4,2019,weather_adj,47.67
1760,22,5,2019,weather_adj,71.27
1761,22,6,2019,weather_adj,88.47
1762,22,7,2019,weather_adj,97.12
1763,22,8,2019,weather_adj,90.67
1764,22,9,2019,weather_adj,64.29
1765,22,10,2019,weather_adj,46.31
1766,22,11,2019,weather_adj,20.31
1767,22,12,2019,weather_adj,22.45
2828,22,1,2019,pv_syst,16.75
2829,22,2,2019,pv_syst,23.93
2830,22,3,2019,pv_syst,54.89
2831,22,4,2019,pv_syst,69.92
2832,22,5,2019,pv_syst,85.86
2833,22,6,2019,pv_syst,91.48
2834,22,7,2019,pv_syst,91.84
2835,22,8,2019,pv_syst,77.1
2836,22,9,2019,pv_syst,67.02
2837,22,10,2019,pv_syst,48.39
2838,22,11,2019,pv_syst,26.34
2839,22,12,2019,pv_syst,19.85
