,plant_id,month,year,Source,Generation
1036,45,1,2019,MW_gen,16.78
1037,45,2,2019,MW_gen,18.1
1038,45,3,2019,MW_gen,47.29
1039,45,4,2019,MW_gen,47.84
1040,45,5,2019,MW_gen,58.78
1041,45,6,2019,MW_gen,70.59
1042,45,7,2019,MW_gen,74.24
1043,45,8,2019,MW_gen,69.79
1044,45,9,2019,MW_gen,49.7
1045,45,10,2019,MW_gen,41.8
1046,45,11,2019,MW_gen,10.04
1047,45,12,2019,MW_gen,10.79
2108,45,1,2019,weather_adj,
2109,45,2,2019,weather_adj,
2110,45,3,2019,weather_adj,
2111,45,4,2019,weather_adj,
2112,45,5,2019,weather_adj,
2113,45,6,2019,weather_adj,
2114,45,7,2019,weather_adj,
2115,45,8,2019,weather_adj,
2116,45,9,2019,weather_adj,
2117,45,10,2019,weather_adj,
2118,45,11,2019,weather_adj,
2119,45,12,2019,weather_adj,
3180,45,1,2019,pv_syst,14.64
3181,45,2,2019,pv_syst,31.42
3182,45,3,2019,pv_syst,45.33
3183,45,4,2019,pv_syst,54.39
3184,45,5,2019,pv_syst,60.71
3185,45,6,2019,pv_syst,62.92
3186,45,7,2019,pv_syst,65.46
3187,45,8,2019,pv_syst,59.82
3188,45,9,2019,pv_syst,50.39
3189,45,10,2019,pv_syst,37.98
3190,45,11,2019,pv_syst,21.79
3191,45,12,2019,pv_syst,16.45
