,plant_id,month,year,Source,Generation
696,23,1,2019,MW_gen,2.23
697,23,2,2019,MW_gen,9.96
698,23,3,2019,MW_gen,61.99
699,23,4,2019,MW_gen,59.15
700,23,5,2019,MW_gen,64.79
701,23,6,2019,MW_gen,
702,23,7,2019,MW_gen,37.53
703,23,8,2019,MW_gen,98.12
704,23,9,2019,MW_gen,69.54
705,23,10,2019,MW_gen,55.44
706,23,11,2019,MW_gen,20.44
707,23,12,2019,MW_gen,15.77
1768,23,1,2019,weather_adj,0.76
1769,23,2,2019,weather_adj,10.7
1770,23,3,2019,weather_adj,60.57
1771,23,4,2019,weather_adj,58.86
1772,23,5,2019,weather_adj,70.35
1773,23,6,2019,weather_adj,42.77
1774,23,7,2019,weather_adj,94.63
1775,23,8,2019,weather_adj,100.73
1776,23,9,2019,weather_adj,71.29
1777,23,10,2019,weather_adj,55.76
1778,23,11,2019,weather_adj,24.26
1779,23,12,2019,weather_adj,15.94
2840,23,1,2019,pv_syst,30.44
2841,23,2,2019,pv_syst,43.55
2842,23,3,2019,pv_syst,63.15
2843,23,4,2019,pv_syst,76.24
2844,23,5,2019,pv_syst,85.22
2845,23,6,2019,pv_syst,91.48
2846,23,7,2019,pv_syst,94.46
2847,23,8,2019,pv_syst,84.93
2848,23,9,2019,pv_syst,66.02
2849,23,10,2019,pv_syst,51.55
2850,23,11,2019,pv_syst,27.62
2851,23,12,2019,pv_syst,23.96
