,plant_id,month,year,Source,Generation
828,34,1,2019,MW_gen,2.55
829,34,2,2019,MW_gen,3.67
830,34,3,2019,MW_gen,8.99
831,34,4,2019,MW_gen,11.59
832,34,5,2019,MW_gen,14.31
833,34,6,2019,MW_gen,17.92
834,34,7,2019,MW_gen,19.68
835,34,8,2019,MW_gen,18.22
836,34,9,2019,MW_gen,11.4
837,34,10,2019,MW_gen,9.23
838,34,11,2019,MW_gen,2.54
839,34,12,2019,MW_gen,1.01
1900,34,1,2019,weather_adj,1.52
1901,34,2,2019,weather_adj,3.17
1902,34,3,2019,weather_adj,7.26
1903,34,4,2019,weather_adj,11.64
1904,34,5,2019,weather_adj,12.92
1905,34,6,2019,weather_adj,15.18
1906,34,7,2019,weather_adj,16.76
1907,34,8,2019,weather_adj,15.7
1908,34,9,2019,weather_adj,9.57
1909,34,10,2019,weather_adj,9.43
1910,34,11,2019,weather_adj,2.6
1911,34,12,2019,weather_adj,1.38
2972,34,1,2019,pv_syst,2.25
2973,34,2,2019,pv_syst,4.04
2974,34,3,2019,pv_syst,9.0
2975,34,4,2019,pv_syst,13.58
2976,34,5,2019,pv_syst,15.72
2977,34,6,2019,pv_syst,16.24
2978,34,7,2019,pv_syst,16.83
2979,34,8,2019,pv_syst,14.77
2980,34,9,2019,pv_syst,11.22
2981,34,10,2019,pv_syst,8.23
2982,34,11,2019,pv_syst,4.33
2983,34,12,2019,pv_syst,3.19
