,plant_id,month,year,Source,Generation
708,24,1,2019,MW_gen,0.7
709,24,2,2019,MW_gen,5.25
710,24,3,2019,MW_gen,20.21
711,24,4,2019,MW_gen,25.23
712,24,5,2019,MW_gen,29.85
713,24,6,2019,MW_gen,34.55
714,24,7,2019,MW_gen,38.0
715,24,8,2019,MW_gen,34.73
716,24,9,2019,MW_gen,24.04
717,24,10,2019,MW_gen,17.37
718,24,11,2019,MW_gen,7.55
719,24,12,2019,MW_gen,6.48
1780,24,1,2019,weather_adj,0.18
1781,24,2,2019,weather_adj,3.98
1782,24,3,2019,weather_adj,20.0
1783,24,4,2019,weather_adj,24.5
1784,24,5,2019,weather_adj,27.49
1785,24,6,2019,weather_adj,32.16
1786,24,7,2019,weather_adj,36.65
1787,24,8,2019,weather_adj,33.98
1788,24,9,2019,weather_adj,23.96
1789,24,10,2019,weather_adj,18.28
1790,24,11,2019,weather_adj,7.87
1791,24,12,2019,weather_adj,6.6
2852,24,1,2019,pv_syst,5.28
2853,24,2,2019,pv_syst,8.48
2854,24,3,2019,pv_syst,19.67
2855,24,4,2019,pv_syst,25.28
2856,24,5,2019,pv_syst,31.25
2857,24,6,2019,pv_syst,33.46
2858,24,7,2019,pv_syst,33.44
2859,24,8,2019,pv_syst,27.41
2860,24,9,2019,pv_syst,23.88
2861,24,10,2019,pv_syst,16.77
2862,24,11,2019,pv_syst,8.88
2863,24,12,2019,pv_syst,6.44
