,plant_id,month,year,Source,Generation
720,25,1,2019,MW_gen,0.26
721,25,2,2019,MW_gen,5.05
722,25,3,2019,MW_gen,17.76
723,25,4,2019,MW_gen,20.12
724,25,5,2019,MW_gen,29.26
725,25,6,2019,MW_gen,36.58
726,25,7,2019,MW_gen,38.54
727,25,8,2019,MW_gen,34.91
728,25,9,2019,MW_gen,23.99
729,25,10,2019,MW_gen,18.8
730,25,11,2019,MW_gen,5.83
731,25,12,2019,MW_gen,4.92
1792,25,1,2019,weather_adj,0.16
1793,25,2,2019,weather_adj,3.68
1794,25,3,2019,weather_adj,18.25
1795,25,4,2019,weather_adj,23.77
1796,25,5,2019,weather_adj,27.97
1797,25,6,2019,weather_adj,35.53
1798,25,7,2019,weather_adj,37.13
1799,25,8,2019,weather_adj,35.1
1800,25,9,2019,weather_adj,24.01
1801,25,10,2019,weather_adj,19.63
1802,25,11,2019,weather_adj,6.01
1803,25,12,2019,weather_adj,5.14
2864,25,1,2019,pv_syst,6.96
2865,25,2,2019,pv_syst,11.27
2866,25,3,2019,pv_syst,22.28
2867,25,4,2019,pv_syst,28.98
2868,25,5,2019,pv_syst,32.91
2869,25,6,2019,pv_syst,34.3
2870,25,7,2019,pv_syst,35.33
2871,25,8,2019,pv_syst,30.89
2872,25,9,2019,pv_syst,23.46
2873,25,10,2019,pv_syst,17.08
2874,25,11,2019,pv_syst,8.97
2875,25,12,2019,pv_syst,6.31
