,plant_id,month,year,Source,Generation
432,1,1,2019,MW_gen,18.65
433,1,2,2019,MW_gen,20.07
434,1,3,2019,MW_gen,33.73
435,1,4,2019,MW_gen,35.67
436,1,5,2019,MW_gen,37.05
437,1,6,2019,MW_gen,42.51
438,1,7,2019,MW_gen,48.43
439,1,8,2019,MW_gen,47.63
440,1,9,2019,MW_gen,34.53
441,1,10,2019,MW_gen,26.78
442,1,11,2019,MW_gen,13.97
443,1,12,2019,MW_gen,14.43
1504,1,1,2019,weather_adj,11.29
1505,1,2,2019,weather_adj,10.13
1506,1,3,2019,weather_adj,30.03
1507,1,4,2019,weather_adj,27.67
1508,1,5,2019,weather_adj,34.0
1509,1,6,2019,weather_adj,40.43
1510,1,7,2019,weather_adj,39.56
1511,1,8,2019,weather_adj,46.78
1512,1,9,2019,weather_adj,28.98
1513,1,10,2019,weather_adj,24.85
1514,1,11,2019,weather_adj,12.55
1515,1,12,2019,weather_adj,15.03
2576,1,1,2019,pv_syst,13.46
2577,1,2,2019,pv_syst,14.59
2578,1,3,2019,pv_syst,29.12
2579,1,4,2019,pv_syst,34.27
2580,1,5,2019,pv_syst,40.35
2581,1,6,2019,pv_syst,42.58
2582,1,7,2019,pv_syst,43.11
2583,1,8,2019,pv_syst,36.88
2584,1,9,2019,pv_syst,34.91
2585,1,10,2019,pv_syst,26.66
2586,1,11,2019,pv_syst,15.15
2587,1,12,2019,pv_syst,11.57
