,plant_id,month,year,Source,Generation
612,16,1,2019,MW_gen,8.28
613,16,2,2019,MW_gen,20.14
614,16,3,2019,MW_gen,36.24
615,16,4,2019,MW_gen,34.2
616,16,5,2019,MW_gen,36.41
617,16,6,2019,MW_gen,43.36
618,16,7,2019,MW_gen,48.43
619,16,8,2019,MW_gen,46.35
620,16,9,2019,MW_gen,31.31
621,16,10,2019,MW_gen,24.01
622,16,11,2019,MW_gen,11.27
623,16,12,2019,MW_gen,7.25
1684,16,1,2019,weather_adj,6.77
1685,16,2,2019,weather_adj,6.35
1686,16,3,2019,weather_adj,29.27
1687,16,4,2019,weather_adj,31.21
1688,16,5,2019,weather_adj,35.25
1689,16,6,2019,weather_adj,42.46
1690,16,7,2019,weather_adj,48.24
1691,16,8,2019,weather_adj,45.95
1692,16,9,2019,weather_adj,31.43
1693,16,10,2019,weather_adj,23.68
1694,16,11,2019,weather_adj,10.71
1695,16,12,2019,weather_adj,7.01
2756,16,1,2019,pv_syst,12.35
2757,16,2,2019,pv_syst,17.22
2758,16,3,2019,pv_syst,29.46
2759,16,4,2019,pv_syst,37.97
2760,16,5,2019,pv_syst,42.57
2761,16,6,2019,pv_syst,42.51
2762,16,7,2019,pv_syst,45.4
2763,16,8,2019,pv_syst,39.3
2764,16,9,2019,pv_syst,33.9
2765,16,10,2019,pv_syst,25.71
2766,16,11,2019,pv_syst,16.08
2767,16,12,2019,pv_syst,12.82
