,plant_id,month,year,Source,Generation
588,14,1,2019,MW_gen,0.01
589,14,2,2019,MW_gen,0.0
590,14,3,2019,MW_gen,3.03
591,14,4,2019,MW_gen,17.51
592,14,5,2019,MW_gen,34.87
593,14,6,2019,MW_gen,42.27
594,14,7,2019,MW_gen,40.02
595,14,8,2019,MW_gen,42.85
596,14,9,2019,MW_gen,27.76
597,14,10,2019,MW_gen,22.02
598,14,11,2019,MW_gen,8.88
599,14,12,2019,MW_gen,0.61
1660,14,1,2019,weather_adj,0.81
1661,14,2,2019,weather_adj,0.0
1662,14,3,2019,weather_adj,5.08
1663,14,4,2019,weather_adj,32.63
1664,14,5,2019,weather_adj,36.13
1665,14,6,2019,weather_adj,40.5
1666,14,7,2019,weather_adj,46.96
1667,14,8,2019,weather_adj,42.38
1668,14,9,2019,weather_adj,25.88
1669,14,10,2019,weather_adj,22.5
1670,14,11,2019,weather_adj,7.09
1671,14,12,2019,weather_adj,0.62
2732,14,1,2019,pv_syst,8.37
2733,14,2,2019,pv_syst,13.94
2734,14,3,2019,pv_syst,30.34
2735,14,4,2019,pv_syst,38.1
2736,14,5,2019,pv_syst,44.88
2737,14,6,2019,pv_syst,43.61
2738,14,7,2019,pv_syst,44.75
2739,14,8,2019,pv_syst,37.73
2740,14,9,2019,pv_syst,28.61
2741,14,10,2019,pv_syst,23.35
2742,14,11,2019,pv_syst,13.46
2743,14,12,2019,pv_syst,8.98
