,plant_id,month,year,Source,Generation
744,27,1,2019,MW_gen,4.59
745,27,2,2019,MW_gen,4.82
746,27,3,2019,MW_gen,10.15
747,27,4,2019,MW_gen,8.54
748,27,5,2019,MW_gen,3.93
749,27,6,2019,MW_gen,3.23
750,27,7,2019,MW_gen,13.27
751,27,8,2019,MW_gen,14.83
752,27,9,2019,MW_gen,11.28
753,27,10,2019,MW_gen,9.48
754,27,11,2019,MW_gen,3.06
755,27,12,2019,MW_gen,2.44
1816,27,1,2019,weather_adj,
1817,27,2,2019,weather_adj,
1818,27,3,2019,weather_adj,18.5
1819,27,4,2019,weather_adj,10.1
1820,27,5,2019,weather_adj,11.49
1821,27,6,2019,weather_adj,12.81
1822,27,7,2019,weather_adj,14.32
1823,27,8,2019,weather_adj,14.87
1824,27,9,2019,weather_adj,8.32
1825,27,10,2019,weather_adj,6.81
1826,27,11,2019,weather_adj,3.2
1827,27,12,2019,weather_adj,2.02
2888,27,1,2019,pv_syst,4.02
2889,27,2,2019,pv_syst,6.29
2890,27,3,2019,pv_syst,7.93
2891,27,4,2019,pv_syst,12.76
2892,27,5,2019,pv_syst,13.98
2893,27,6,2019,pv_syst,13.78
2894,27,7,2019,pv_syst,15.39
2895,27,8,2019,pv_syst,13.9
2896,27,9,2019,pv_syst,9.57
2897,27,10,2019,pv_syst,7.92
2898,27,11,2019,pv_syst,4.48
2899,27,12,2019,pv_syst,3.16
