,plant_id,month,year,Source,Generation
732,26,1,2019,MW_gen,0.0
733,26,2,2019,MW_gen,0.0
734,26,3,2019,MW_gen,0.0
735,26,4,2019,MW_gen,1.0697
736,26,5,2019,MW_gen,0.0
737,26,6,2019,MW_gen,5.112
738,26,7,2019,MW_gen,6.334
739,26,8,2019,MW_gen,3.648
740,26,9,2019,MW_gen,0.8909999999999999
741,26,10,2019,MW_gen,3.1010000000000004
742,26,11,2019,MW_gen,1.335
743,26,12,2019,MW_gen,2.5580000000000003
1804,26,1,2019,weather_adj,0.0
1805,26,2,2019,weather_adj,0.0
1806,26,3,2019,weather_adj,0.0
1807,26,4,2019,weather_adj,1.48
1808,26,5,2019,weather_adj,1.619
1809,26,6,2019,weather_adj,15.92
1810,26,7,2019,weather_adj,17.81
1811,26,8,2019,weather_adj,16.08
1812,26,9,2019,weather_adj,11.19
1813,26,10,2019,weather_adj,7.9
1814,26,11,2019,weather_adj,1.5
1815,26,12,2019,weather_adj,2.1
2876,26,1,2019,pv_syst,
2877,26,2,2019,pv_syst,
2878,26,3,2019,pv_syst,
2879,26,4,2019,pv_syst,
2880,26,5,2019,pv_syst,
2881,26,6,2019,pv_syst,
2882,26,7,2019,pv_syst,
2883,26,8,2019,pv_syst,
2884,26,9,2019,pv_syst,
2885,26,10,2019,pv_syst,
2886,26,11,2019,pv_syst,
2887,26,12,2019,pv_syst,
