,plant_id,month,year,Source,Generation
756,28,1,2019,MW_gen,6.54
757,28,2,2019,MW_gen,9.96
758,28,3,2019,MW_gen,22.24
759,28,4,2019,MW_gen,21.55
760,28,5,2019,MW_gen,28.42
761,28,6,2019,MW_gen,37.05
762,28,7,2019,MW_gen,33.47
763,28,8,2019,MW_gen,37.15
764,28,9,2019,MW_gen,22.51
765,28,10,2019,MW_gen,18.1
766,28,11,2019,MW_gen,5.6
767,28,12,2019,MW_gen,2.79
1828,28,1,2019,weather_adj,
1829,28,2,2019,weather_adj,
1830,28,3,2019,weather_adj,17.66
1831,28,4,2019,weather_adj,30.08
1832,28,5,2019,weather_adj,33.52
1833,28,6,2019,weather_adj,41.24
1834,28,7,2019,weather_adj,46.08
1835,28,8,2019,weather_adj,41.52
1836,28,9,2019,weather_adj,27.35
1837,28,10,2019,weather_adj,20.03
1838,28,11,2019,weather_adj,9.2
1839,28,12,2019,weather_adj,2.93
2900,28,1,2019,pv_syst,4.13
2901,28,2,2019,pv_syst,9.93
2902,28,3,2019,pv_syst,24.13
2903,28,4,2019,pv_syst,35.04
2904,28,5,2019,pv_syst,40.79
2905,28,6,2019,pv_syst,44.35
2906,28,7,2019,pv_syst,45.62
2907,28,8,2019,pv_syst,38.81
2908,28,9,2019,pv_syst,27.81
2909,28,10,2019,pv_syst,19.62
2910,28,11,2019,pv_syst,9.64
2911,28,12,2019,pv_syst,5.27
