,plant_id,month,year,Source,Generation
768,29,1,2019,MW_gen,6.73
769,29,2,2019,MW_gen,8.15
770,29,3,2019,MW_gen,27.03
771,29,4,2019,MW_gen,26.73
772,29,5,2019,MW_gen,22.36
773,29,6,2019,MW_gen,12.44
774,29,7,2019,MW_gen,15.37
775,29,8,2019,MW_gen,24.08
776,29,9,2019,MW_gen,25.25
777,29,10,2019,MW_gen,18.6
778,29,11,2019,MW_gen,5.64
779,29,12,2019,MW_gen,6.0
1840,29,1,2019,weather_adj,
1841,29,2,2019,weather_adj,
1842,29,3,2019,weather_adj,16.82
1843,29,4,2019,weather_adj,36.95
1844,29,5,2019,weather_adj,41.69
1845,29,6,2019,weather_adj,47.81
1846,29,7,2019,weather_adj,56.85
1847,29,8,2019,weather_adj,53.79
1848,29,9,2019,weather_adj,34.78
1849,29,10,2019,weather_adj,23.79
1850,29,11,2019,weather_adj,13.18
1851,29,12,2019,weather_adj,8.715
2912,29,1,2019,pv_syst,13.62
2913,29,2,2019,pv_syst,18.47
2914,29,3,2019,pv_syst,32.08
2915,29,4,2019,pv_syst,43.52
2916,29,5,2019,pv_syst,50.73
2917,29,6,2019,pv_syst,51.42
2918,29,7,2019,pv_syst,54.18
2919,29,8,2019,pv_syst,46.63
2920,29,9,2019,pv_syst,37.84
2921,29,10,2019,pv_syst,28.25
2922,29,11,2019,pv_syst,16.62
2923,29,12,2019,pv_syst,11.34
