,plant_id,month,year,Source,Generation
624,17,1,2019,MW_gen,12.43
625,17,2,2019,MW_gen,14.82
626,17,3,2019,MW_gen,31.0
627,17,4,2019,MW_gen,26.12
628,17,5,2019,MW_gen,31.95
629,17,6,2019,MW_gen,39.89
630,17,7,2019,MW_gen,44.44
631,17,8,2019,MW_gen,42.73
632,17,9,2019,MW_gen,27.72
633,17,10,2019,MW_gen,25.03
634,17,11,2019,MW_gen,10.61
635,17,12,2019,MW_gen,7.53
1696,17,1,2019,weather_adj,3.02
1697,17,2,2019,weather_adj,7.04
1698,17,3,2019,weather_adj,31.76
1699,17,4,2019,weather_adj,25.26
1700,17,5,2019,weather_adj,33.87
1701,17,6,2019,weather_adj,42.24
1702,17,7,2019,weather_adj,49.31
1703,17,8,2019,weather_adj,46.69
1704,17,9,2019,weather_adj,29.8
1705,17,10,2019,weather_adj,25.89
1706,17,11,2019,weather_adj,10.8
1707,17,12,2019,weather_adj,7.85
2768,17,1,2019,pv_syst,3.34
2769,17,2,2019,pv_syst,11.05
2770,17,3,2019,pv_syst,26.06
2771,17,4,2019,pv_syst,38.03
2772,17,5,2019,pv_syst,41.87
2773,17,6,2019,pv_syst,44.15
2774,17,7,2019,pv_syst,46.21
2775,17,8,2019,pv_syst,40.93
2776,17,9,2019,pv_syst,31.07
2777,17,10,2019,pv_syst,24.69
2778,17,11,2019,pv_syst,12.46
2779,17,12,2019,pv_syst,6.88
