,plant_id,month,year,Source,Generation
456,3,1,2019,MW_gen,0.43
457,3,2,2019,MW_gen,0.16
458,3,3,2019,MW_gen,8.42
459,3,4,2019,MW_gen,27.03
460,3,5,2019,MW_gen,39.84
461,3,6,2019,MW_gen,46.65
462,3,7,2019,MW_gen,46.78
463,3,8,2019,MW_gen,40.41
464,3,9,2019,MW_gen,22.88
465,3,10,2019,MW_gen,20.12
466,3,11,2019,MW_gen,7.59
467,3,12,2019,MW_gen,1.89
1528,3,1,2019,weather_adj,5.01
1529,3,2,2019,weather_adj,1.03
1530,3,3,2019,weather_adj,9.0
1531,3,4,2019,weather_adj,27.6
1532,3,5,2019,weather_adj,38.89
1533,3,6,2019,weather_adj,38.6
1534,3,7,2019,weather_adj,45.47
1535,3,8,2019,weather_adj,39.33
1536,3,9,2019,weather_adj,24.58
1537,3,10,2019,weather_adj,21.15
1538,3,11,2019,weather_adj,7.7
1539,3,12,2019,weather_adj,1.88
2600,3,1,2019,pv_syst,14.12
2601,3,2,2019,pv_syst,19.84
2602,3,3,2019,pv_syst,34.32
2603,3,4,2019,pv_syst,37.81
2604,3,5,2019,pv_syst,45.9
2605,3,6,2019,pv_syst,43.7
2606,3,7,2019,pv_syst,43.33
2607,3,8,2019,pv_syst,36.39
2608,3,9,2019,pv_syst,27.65
2609,3,10,2019,pv_syst,20.94
2610,3,11,2019,pv_syst,13.28
2611,3,12,2019,pv_syst,15.16
