,portfolio,month,year,Source,Generation
432,1,1,2019,MW_gen,18.65
433,1,2,2019,MW_gen,20.07
434,1,3,2019,MW_gen,33.73
435,1,4,2019,MW_gen,35.67
436,1,5,2019,MW_gen,37.05
437,1,6,2019,MW_gen,42.51
438,1,7,2019,MW_gen,48.43
439,1,8,2019,MW_gen,47.63
440,1,9,2019,MW_gen,34.53
441,1,10,2019,MW_gen,26.78
442,1,11,2019,MW_gen,13.97
443,1,12,2019,MW_gen,14.43
444,1,1,2019,MW_gen,1.35
445,1,2,2019,MW_gen,33.9
446,1,3,2019,MW_gen,20.37
447,1,4,2019,MW_gen,31.3
448,1,5,2019,MW_gen,35.36
449,1,6,2019,MW_gen,43.17
450,1,7,2019,MW_gen,50.78
451,1,8,2019,MW_gen,46.05
452,1,9,2019,MW_gen,33.98
453,1,10,2019,MW_gen,24.27
454,1,11,2019,MW_gen,11.4
455,1,12,2019,MW_gen,5.78
456,1,1,2019,MW_gen,0.43
457,1,2,2019,MW_gen,0.16
458,1,3,2019,MW_gen,8.42
459,1,4,2019,MW_gen,27.03
460,1,5,2019,MW_gen,39.84
461,1,6,2019,MW_gen,46.65
462,1,7,2019,MW_gen,46.78
463,1,8,2019,MW_gen,40.41
464,1,9,2019,MW_gen,22.88
465,1,10,2019,MW_gen,20.12
466,1,11,2019,MW_gen,7.59
467,1,12,2019,MW_gen,1.89
468,1,1,2019,MW_gen,1.09
469,1,2,2019,MW_gen,0.21
470,1,3,2019,MW_gen,21.79
471,1,4,2019,MW_gen,35.49
472,1,5,2019,MW_gen,35.74
473,1,6,2019,MW_gen,45.28
474,1,7,2019,MW_gen,44.75
475,1,8,2019,MW_gen,39.34
476,1,9,2019,MW_gen,30.01
477,1,10,2019,MW_gen,21.63
478,1,11,2019,MW_gen,8.29
479,1,12,2019,MW_gen,1.18
480,1,1,2019,MW_gen,0.01
481,1,2,2019,MW_gen,0.47
482,1,3,2019,MW_gen,11.95
483,1,4,2019,MW_gen,28.38
484,1,5,2019,MW_gen,32.12
485,1,6,2019,MW_gen,39.92
486,1,7,2019,MW_gen,47.11
487,1,8,2019,MW_gen,43.63
488,1,9,2019,MW_gen,27.37
489,1,10,2019,MW_gen,20.92
490,1,11,2019,MW_gen,3.08
