,plant_id,month,year,Source,Generation
792,31,1,2019,MW_gen,1.61
793,31,2,2019,MW_gen,0.22
794,31,3,2019,MW_gen,7.6
795,31,4,2019,MW_gen,10.97
796,31,5,2019,MW_gen,11.89
797,31,6,2019,MW_gen,14.01
798,31,7,2019,MW_gen,15.61
799,31,8,2019,MW_gen,13.94
800,31,9,2019,MW_gen,10.55
801,31,10,2019,MW_gen,12.37
802,31,11,2019,MW_gen,5.51
803,31,12,2019,MW_gen,4.27
1864,31,1,2019,weather_adj,
1865,31,2,2019,weather_adj,
1866,31,3,2019,weather_adj,15.13
1867,31,4,2019,weather_adj,21.6
1868,31,5,2019,weather_adj,25.0
1869,31,6,2019,weather_adj,26.15
1870,31,7,2019,weather_adj,31.27
1871,31,8,2019,weather_adj,28.42
1872,31,9,2019,weather_adj,18.69
1873,31,10,2019,weather_adj,14.01
1874,31,11,2019,weather_adj,5.47
1875,31,12,2019,weather_adj,4.914
2936,31,1,2019,pv_syst,8.13
2937,31,2,2019,pv_syst,10.03
2938,31,3,2019,pv_syst,17.57
2939,31,4,2019,pv_syst,26.15
2940,31,5,2019,pv_syst,30.42
2941,31,6,2019,pv_syst,28.13
2942,31,7,2019,pv_syst,32.73
2943,31,8,2019,pv_syst,28.09
2944,31,9,2019,pv_syst,20.48
2945,31,10,2019,pv_syst,16.93
2946,31,11,2019,pv_syst,9.81
2947,31,12,2019,pv_syst,5.62
