,portfolio,month,year,Source,Generation
648,2,1,2019,MW_gen,2.02
649,2,2,2019,MW_gen,19.8
650,2,3,2019,MW_gen,58.28
651,2,4,2019,MW_gen,66.79
652,2,5,2019,MW_gen,78.1
653,2,6,2019,MW_gen,89.11
654,2,7,2019,MW_gen,99.93
655,2,8,2019,MW_gen,90.28
656,2,9,2019,MW_gen,64.86
657,2,10,2019,MW_gen,49.97
658,2,11,2019,MW_gen,20.55
659,2,12,2019,MW_gen,20.2
660,2,1,2019,MW_gen,1.97
661,2,2,2019,MW_gen,13.49
662,2,3,2019,MW_gen,53.8
663,2,4,2019,MW_gen,65.96
664,2,5,2019,MW_gen,71.03
665,2,6,2019,MW_gen,91.0
666,2,7,2019,MW_gen,100.15
667,2,8,2019,MW_gen,91.48
668,2,9,2019,MW_gen,60.62
669,2,10,2019,MW_gen,42.61
670,2,11,2019,MW_gen,17.96
671,2,12,2019,MW_gen,18.47
672,2,1,2019,MW_gen,0.96
673,2,2,2019,MW_gen,7.75
674,2,3,2019,MW_gen,34.54
675,2,4,2019,MW_gen,44.1
676,2,5,2019,MW_gen,49.16
677,2,6,2019,MW_gen,59.96
678,2,7,2019,MW_gen,65.99
679,2,8,2019,MW_gen,61.02
680,2,9,2019,MW_gen,40.48
681,2,10,2019,MW_gen,28.75
682,2,11,2019,MW_gen,11.68
683,2,12,2019,MW_gen,12.26
684,2,1,2019,MW_gen,2.37
685,2,2,2019,MW_gen,16.33
686,2,3,2019,MW_gen,62.29
687,2,4,2019,MW_gen,69.46
688,2,5,2019,MW_gen,77.44
689,2,6,2019,MW_gen,91.48
690,2,7,2019,MW_gen,101.9
691,2,8,2019,MW_gen,94.74
692,2,9,2019,MW_gen,66.16
693,2,10,2019,MW_gen,48.83
694,2,11,2019,MW_gen,23.11
695,2,12,2019,MW_gen,21.91
696,2,1,2019,MW_gen,2.23
697,2,2,2019,MW_gen,9.96
698,2,3,2019,MW_gen,61.99
699,2,4,2019,MW_gen,59.15
700,2,5,2019,MW_gen,64.79
701,2,6,2019,MW_gen,
702,2,7,2019,MW_gen,37.53
703,2,8,2019,MW_gen,98.12
704,2,9,2019,MW_gen,69.54
705,2,10,2019,MW_gen,55.44
706,2,11,2019,MW_gen,20.44
707,2,12,2019,MW_gen,15.77
708,2,1,2019,MW_gen,0.7
709,2,2,2019,MW_gen,5.25
