,plant_id,month,year,Source,Generation
636,18,1,2019,MW_gen,2.74
637,18,2,2019,MW_gen,6.23
638,18,3,2019,MW_gen,29.64
639,18,4,2019,MW_gen,34.79
640,18,5,2019,MW_gen,36.94
641,18,6,2019,MW_gen,43.04
642,18,7,2019,MW_gen,47.56
643,18,8,2019,MW_gen,45.5
644,18,9,2019,MW_gen,33.94
645,18,10,2019,MW_gen,23.59
646,18,11,2019,MW_gen,11.1
647,18,12,2019,MW_gen,4.56
1708,18,1,2019,weather_adj,6.92
1709,18,2,2019,weather_adj,13.42
1710,18,3,2019,weather_adj,33.02
1711,18,4,2019,weather_adj,31.87
1712,18,5,2019,weather_adj,32.33
1713,18,6,2019,weather_adj,42.1
1714,18,7,2019,weather_adj,47.52
1715,18,8,2019,weather_adj,40.67
1716,18,9,2019,weather_adj,31.82
1717,18,10,2019,weather_adj,24.93
1718,18,11,2019,weather_adj,11.05
1719,18,12,2019,weather_adj,4.44
2780,18,1,2019,pv_syst,11.91
2781,18,2,2019,pv_syst,18.79
2782,18,3,2019,pv_syst,30.51
2783,18,4,2019,pv_syst,38.09
2784,18,5,2019,pv_syst,43.0
2785,18,6,2019,pv_syst,42.97
2786,18,7,2019,pv_syst,45.28
2787,18,8,2019,pv_syst,39.31
2788,18,9,2019,pv_syst,32.7
2789,18,10,2019,pv_syst,25.57
2790,18,11,2019,pv_syst,15.51
2791,18,12,2019,pv_syst,12.94
