,plant_id,month,year,Source,Generation
516,8,1,2019,MW_gen,15.05
517,8,2,2019,MW_gen,17.58
518,8,3,2019,MW_gen,33.7
519,8,4,2019,MW_gen,33.68
520,8,5,2019,MW_gen,38.3
521,8,6,2019,MW_gen,44.52
522,8,7,2019,MW_gen,46.45
523,8,8,2019,MW_gen,42.08
524,8,9,2019,MW_gen,34.8
525,8,10,2019,MW_gen,24.99
526,8,11,2019,MW_gen,10.59
527,8,12,2019,MW_gen,6.99
1588,8,1,2019,weather_adj,9.89
1589,8,2,2019,weather_adj,16.22
1590,8,3,2019,weather_adj,29.66
1591,8,4,2019,weather_adj,29.55
1592,8,5,2019,weather_adj,36.61
1593,8,6,2019,weather_adj,39.29
1594,8,7,2019,weather_adj,41.13
1595,8,8,2019,weather_adj,43.21
1596,8,9,2019,weather_adj,35.22
1597,8,10,2019,weather_adj,24.48
1598,8,11,2019,weather_adj,10.98
1599,8,12,2019,weather_adj,6.97
2660,8,1,2019,pv_syst,12.78
2661,8,2,2019,pv_syst,18.92
2662,8,3,2019,pv_syst,31.22
2663,8,4,2019,pv_syst,38.14
2664,8,5,2019,pv_syst,43.96
2665,8,6,2019,pv_syst,42.87
2666,8,7,2019,pv_syst,44.79
2667,8,8,2019,pv_syst,39.36
2668,8,9,2019,pv_syst,32.94
2669,8,10,2019,pv_syst,25.8
2670,8,11,2019,pv_syst,15.25
2671,8,12,2019,pv_syst,12.33
