,portfolio,month,year,Source,Generation
1000,5,1,2019,MW_gen,7.81
1001,5,2,2019,MW_gen,7.83
1002,5,3,2019,MW_gen,20.51
1003,5,4,2019,MW_gen,20.54
1004,5,5,2019,MW_gen,22.49
1005,5,6,2019,MW_gen,26.63
1006,5,7,2019,MW_gen,32.37
1007,5,8,2019,MW_gen,30.46
1008,5,9,2019,MW_gen,6.25
1009,5,10,2019,MW_gen,7.46
1010,5,11,2019,MW_gen,5.91
1011,5,12,2019,MW_gen,4.38
1012,5,1,2019,MW_gen,10.37
1013,5,2,2019,MW_gen,10.5
1014,5,3,2019,MW_gen,27.98
1015,5,4,2019,MW_gen,28.39
1016,5,5,2019,MW_gen,35.48
1017,5,6,2019,MW_gen,37.08
1018,5,7,2019,MW_gen,45.33
1019,5,8,2019,MW_gen,42.42
1020,5,9,2019,MW_gen,30.04
1021,5,10,2019,MW_gen,25.22
1022,5,11,2019,MW_gen,8.54
1023,5,12,2019,MW_gen,6.76
1024,5,1,2019,MW_gen,17.27
1025,5,2,2019,MW_gen,18.53
1026,5,3,2019,MW_gen,49.8
1027,5,4,2019,MW_gen,49.3
1028,5,5,2019,MW_gen,61.5
1029,5,6,2019,MW_gen,73.55
1030,5,7,2019,MW_gen,77.0
1031,5,8,2019,MW_gen,72.42
1032,5,9,2019,MW_gen,51.19
1033,5,10,2019,MW_gen,42.65
1034,5,11,2019,MW_gen,14.04
1035,5,12,2019,MW_gen,11.35
1036,5,1,2019,MW_gen,16.78
1037,5,2,2019,MW_gen,18.1
1038,5,3,2019,MW_gen,47.29
1039,5,4,2019,MW_gen,47.84
1040,5,5,2019,MW_gen,58.78
1041,5,6,2019,MW_gen,70.59
1042,5,7,2019,MW_gen,74.24
1043,5,8,2019,MW_gen,69.79
1044,5,9,2019,MW_gen,49.7
1045,5,10,2019,MW_gen,41.8
1046,5,11,2019,MW_gen,10.04
1047,5,12,2019,MW_gen,10.79
1048,5,1,2019,MW_gen,9.99
1049,5,1,2019,MW_gen,24.05
1050,5,2,2019,MW_gen,10.42
1051,5,2,2019,MW_gen,28.01
1052,5,3,2019,MW_gen,13.07
1053,5,3,2019,MW_gen,60.29
1054,5,4,2019,MW_gen,29.77
1055,5,4,2019,MW_gen,58.5
1056,5,5,2019,MW_gen,36.05
1057,5,5,2019,MW_gen,76.8
1058,5,6,2019,MW_gen,44.49
1059,5,6,2019,MW_gen,95.48
1060,5,7,2019,MW_gen,46.09
1061,5,7,2019,MW_gen,97.13
1062,5,8,2019,MW_gen,44.31
1063,5,8,2019,MW_gen,94.07
1064,5,9,2019,MW_gen,29.9
1065,5,9,2019,MW_gen,67.33
1066,5,10,2019,MW_gen,23.9
1067,5,10,2019,MW_gen,51.47
1068,5,11,2019,MW_gen,7.73
1069,5,11,2019,MW_gen,22.33
1070,5,12,2019,MW_gen,6.27
1071,5,12,2019,MW_gen,13.91
2072,5,1,2019,weather_adj,
2073,5,2,2019,weather_adj,
2074,5,3,2019,weather_adj,
2075,5,4,2019,weather_adj,
2076,5,5,2019,weather_adj,
2077,5,6,2019,weather_adj,
2078,5,7,2019,weather_adj,
2079,5,8,2019,weather_adj,
2080,5,9,2019,weather_adj,
2081,5,10,2019,weather_adj,
2082,5,11,2019,weather_adj,
2083,5,12,2019,weather_adj,
2084,5,1,2019,weather_adj,
2085,5,2,2019,weather_adj,
2086,5,3,2019,weather_adj,
2087,5,4,2019,weather_adj,
2088,5,5,2019,weather_adj,
2089,5,6,2019,weather_adj,
2090,5,7,2019,weather_adj,
2091,5,8,2019,weather_adj,
2092,5,9,2019,weather_adj,
2093,5,10,2019,weather_adj,
2094,5,11,2019,weather_adj,
2095,5,12,2019,weather_adj,
2096,5,1,2019,weather_adj,
2097,5,2,2019,weather_adj,
2098,5,3,2019,weather_adj,
2099,5,4,2019,weather_adj,
2100,5,5,2019,weather_adj,
2101,5,6,2019,weather_adj,
2102,5,7,2019,weather_adj,
2103,5,8,2019,weather_adj,
2104,5,9,2019,weather_adj,
2105,5,10,2019,weather_adj,
2106,5,11,2019,weather_adj,
2107,5,12,2019,weather_adj,
2108,5,1,2019,weather_adj,
2109,5,2,2019,weather_adj,
2110,5,3,2019,weather_adj,
2111,5,4,2019,weather_adj,
2112,5,5,2019,weather_adj,
2113,5,6,2019,weather_adj,
2114,5,7,2019,weather_adj,
2115,5,8,2019,weather_adj,
2116,5,9,2019,weather_adj,
2117,5,10,2019,weather_adj,
2118,5,11,2019,weather_adj,
2119,5,12,2019,weather_adj,
2120,5,1,2019,weather_adj,
2121,5,1,2019,weather_adj,
2122,5,2,2019,weather_adj,
2123,5,2,2019,weather_adj,
2124,5,3,2019,weather_adj,
2125,5,3,2019,weather_adj,
2126,5,4,2019,weather_adj,
2127,5,4,2019,weather_adj,
2128,5,5,2019,weather_adj,
2129,5,5,2019,weather_adj,
2130,5,6,2019,weather_adj,
2131,5,6,2019,weather_adj,
2132,5,7,2019,weather_adj,
2133,5,7,2019,weather_adj,
2134,5,8,2019,weather_adj,
2135,5,8,2019,weather_adj,
2136,5,9,2019,weather_adj,
2137,5,9,2019,weather_adj,
2138,5,10,2019,weather_adj,
2139,5,10,2019,weather_adj,
2140,5,11,2019,weather_adj,
2141,5,11,2019,weather_adj,
2142,5,12,2019,weather_adj,
2143,5,12,2019,weather_adj,
3144,5,1,2019,pv_syst,6.4
3145,5,2,2019,pv_syst,12.72
3146,5,3,2019,pv_syst,19.7
3147,5,4,2019,pv_syst,23.49
3148,5,5,2019,pv_syst,26.16
3149,5,6,2019,pv_syst,27.53
3150,5,7,2019,pv_syst,28.18
3151,5,8,2019,pv_syst,25.8
3152,5,9,2019,pv_syst,21.78
3153,5,10,2019,pv_syst,16.5
3154,5,11,2019,pv_syst,9.53
3155,5,12,2019,pv_syst,7.23
3156,5,1,2019,pv_syst,9.19
3157,5,2,2019,pv_syst,19.68
3158,5,3,2019,pv_syst,28.23
3159,5,4,2019,pv_syst,33.64
3160,5,5,2019,pv_syst,37.57
3161,5,6,2019,pv_syst,39.61
3162,5,7,2019,pv_syst,40.69
3163,5,8,2019,pv_syst,37.16
3164,5,9,2019,pv_syst,31.37
3165,5,10,2019,pv_syst,23.74
3166,5,11,2019,pv_syst,13.61
3167,5,12,2019,pv_syst,10.31
