,portfolio,month,year,Source,Generation
732,3,1,2019,MW_gen,0.0
733,3,2,2019,MW_gen,0.0
734,3,3,2019,MW_gen,0.0
735,3,4,2019,MW_gen,1.0697
736,3,5,2019,MW_gen,0.0
737,3,6,2019,MW_gen,5.112
738,3,7,2019,MW_gen,6.334
739,3,8,2019,MW_gen,3.648
740,3,9,2019,MW_gen,0.8909999999999999
741,3,10,2019,MW_gen,3.1010000000000004
742,3,11,2019,MW_gen,1.335
743,3,12,2019,MW_gen,2.5580000000000003
744,3,1,2019,MW_gen,4.59
745,3,2,2019,MW_gen,4.82
746,3,3,2019,MW_gen,10.15
747,3,4,2019,MW_gen,8.54
748,3,5,2019,MW_gen,3.93
749,3,6,2019,MW_gen,3.23
750,3,7,2019,MW_gen,13.27
751,3,8,2019,MW_gen,14.83
752,3,9,2019,MW_gen,11.28
753,3,10,2019,MW_gen,9.48
754,3,11,2019,MW_gen,3.06
755,3,12,2019,MW_gen,2.44
756,3,1,2019,MW_gen,6.54
757,3,2,2019,MW_gen,9.96
758,3,3,2019,MW_gen,22.24
759,3,4,2019,MW_gen,21.55
760,3,5,2019,MW_gen,28.42
761,3,6,2019,MW_gen,37.05
762,3,7,2019,MW_gen,33.47
763,3,8,2019,MW_gen,37.15
764,3,9,2019,MW_gen,22.51
765,3,10,2019,MW_gen,18.1
766,3,11,2019,MW_gen,5.6
767,3,12,2019,MW_gen,2.79
768,3,1,2019,MW_gen,6.73
769,3,2,2019,MW_gen,8.15
770,3,3,2019,MW_gen,27.03
771,3,4,2019,MW_gen,26.73
772,3,5,2019,MW_gen,22.36
773,3,6,2019,MW_gen,12.44
774,3,7,2019,MW_gen,15.37
775,3,8,2019,MW_gen,24.08
776,3,9,2019,MW_gen,25.25
777,3,10,2019,MW_gen,18.6
778,3,11,2019,MW_gen,5.64
779,3,12,2019,MW_gen,6.0
780,3,1,2019,MW_gen,9.26
781,3,2,2019,MW_gen,16.06
782,3,3,2019,MW_gen,37.86
783,3,4,2019,MW_gen,37.32
784,3,5,2019,MW_gen,36.12
785,3,6,2019,MW_gen,46.02
786,3,7,2019,MW_gen,52.37
787,3,8,2019,MW_gen,46.26
788,3,9,2019,MW_gen,35.64
789,3,10,2019,MW_gen,21.43
790,3,11,2019,MW_gen,11.68
791,3,12,2019,MW_gen,8.17
792,3,1,2019,MW_gen,1.61
793,3,2,2019,MW_gen,0.22
794,3,3,2019,MW_gen,7.6
795,3,4,2019,MW_gen,10.97
796,3,5,2019,MW_gen,11.89
797,3,6,2019,MW_gen,14.01
798,3,7,2019,MW_gen,15.61
799,3,8,2019,MW_gen,13.94
800,3,9,2019,MW_gen,10.55
801,3,10,2019,MW_gen,12.37
802,3,11,2019,MW_gen,5.51
803,3,12,2019,MW_gen,4.27
1804,3,1,2019,weather_adj,0.0
1805,3,2,2019,weather_adj,0.0
1806,3,3,2019,weather_adj,0.0
1807,3,4,2019,weather_adj,1.48
1808,3,5,2019,weather_adj,1.619
1809,3,6,2019,weather_adj,15.92
1810,3,7,2019,weather_adj,17.81
1811,3,8,2019,weather_adj,16.08
1812,3,9,2019,weather_adj,11.19
1813,3,10,2019,weather_adj,7.9
1814,3,11,2019,weather_adj,1.5
1815,3,12,2019,weather_adj,2.1
1816,3,1,2019,weather_adj,
1817,3,2,2019,weather_adj,
1818,3,3,2019,weather_adj,18.5
1819,3,4,2019,weather_adj,10.1
1820,3,5,2019,weather_adj,11.49
1821,3,6,2019,weather_adj,12.81
1822,3,7,2019,weather_adj,14.32
1823,3,8,2019,weather_adj,14.87
1824,3,9,2019,weather_adj,8.32
1825,3,10,2019,weather_adj,6.81
1826,3,11,2019,weather_adj,3.2
1827,3,12,2019,weather_adj,2.02
1828,3,1,2019,weather_adj,
1829,3,2,2019,weather_adj,
1830,3,3,2019,weather_adj,17.66
1831,3,4,2019,weather_adj,30.08
1832,3,5,2019,weather_adj,33.52
1833,3,6,2019,weather_adj,41.24
1834,3,7,2019,weather_adj,46.08
1835,3,8,2019,weather_adj,41.52
1836,3,9,2019,weather_adj,27.35
1837,3,10,2019,weather_adj,20.03
1838,3,11,2019,weather_adj,9.2
1839,3,12,2019,weather_adj,2.93
1840,3,1,2019,weather_adj,
1841,3,2,2019,weather_adj,
1842,3,3,2019,weather_adj,16.82
1843,3,4,2019,weather_adj,36.95
1844,3,5,2019,weather_adj,41.69
1845,3,6,2019,weather_adj,47.81
1846,3,7,2019,weather_adj,56.85
1847,3,8,2019,weather_adj,53.79
1848,3,9,2019,weather_adj,34.78
1849,3,10,2019,weather_adj,23.79
1850,3,11,2019,weather_adj,13.18
1851,3,12,2019,weather_adj,8.715
1852,3,1,2019,weather_adj,
1853,3,2,2019,weather_adj,
1854,3,3,2019,weather_adj,15.97
1855,3,4,2019,weather_adj,31.83
1856,3,5,2019,weather_adj,37.33
1857,3,6,2019,weather_adj,42.06
1858,3,7,2019,weather_adj,50.44
1859,3,8,2019,weather_adj,42.25
1860,3,9,2019,weather_adj,30.92
1861,3,10,2019,weather_adj,18.34
1862,3,11,2019,weather_adj,10.37
1863,3,12,2019,weather_adj,8.83
1864,3,1,2019,weather_adj,
1865,3,2,2019,weather_adj,
1866,3,3,2019,weather_adj,15.13
1867,3,4,2019,weather_adj,21.6
1868,3,5,2019,weather_adj,25.0
1869,3,6,2019,weather_adj,26.15
1870,3,7,2019,weather_adj,31.27
1871,3,8,2019,weather_adj,28.42
1872,3,9,2019,weather_adj,18.69
