,plant_id,month,year,Source,Generation
564,12,1,2019,MW_gen,14.75
565,12,2,2019,MW_gen,16.41
566,12,3,2019,MW_gen,32.17
567,12,4,2019,MW_gen,29.06
568,12,5,2019,MW_gen,37.25
569,12,6,2019,MW_gen,44.21
570,12,7,2019,MW_gen,48.65
571,12,8,2019,MW_gen,44.66
572,12,9,2019,MW_gen,31.86
573,12,10,2019,MW_gen,25.99
574,12,11,2019,MW_gen,9.04
575,12,12,2019,MW_gen,7.22
1636,12,1,2019,weather_adj,8.55
1637,12,2,2019,weather_adj,15.64
1638,12,3,2019,weather_adj,33.78
1639,12,4,2019,weather_adj,26.97
1640,12,5,2019,weather_adj,36.3
1641,12,6,2019,weather_adj,43.67
1642,12,7,2019,weather_adj,49.84
1643,12,8,2019,weather_adj,45.57
1644,12,9,2019,weather_adj,32.4
1645,12,10,2019,weather_adj,26.51
1646,12,11,2019,weather_adj,9.22
1647,12,12,2019,weather_adj,7.22
2708,12,1,2019,pv_syst,11.52
2709,12,2,2019,pv_syst,17.17
2710,12,3,2019,pv_syst,30.46
2711,12,4,2019,pv_syst,37.72
2712,12,5,2019,pv_syst,42.9
2713,12,6,2019,pv_syst,44.07
2714,12,7,2019,pv_syst,46.14
2715,12,8,2019,pv_syst,41.54
2716,12,9,2019,pv_syst,32.94
2717,12,10,2019,pv_syst,24.85
2718,12,11,2019,pv_syst,13.64
2719,12,12,2019,pv_syst,9.69
