,portfolio,month,year,Source,Generation
804,4,1,2019,MW_gen,3.17
805,4,2,2019,MW_gen,4.03
806,4,3,2019,MW_gen,13.41
807,4,4,2019,MW_gen,14.52
808,4,5,2019,MW_gen,18.58
809,4,6,2019,MW_gen,23.81
810,4,7,2019,MW_gen,26.13
811,4,8,2019,MW_gen,24.15
812,4,9,2019,MW_gen,15.21
813,4,10,2019,MW_gen,11.77
814,4,11,2019,MW_gen,3.65
815,4,12,2019,MW_gen,1.71
816,4,1,2019,MW_gen,14.7
817,4,2,2019,MW_gen,17.42
818,4,3,2019,MW_gen,41.01
819,4,4,2019,MW_gen,39.34
820,4,5,2019,MW_gen,55.41
821,4,6,2019,MW_gen,74.59
822,4,7,2019,MW_gen,82.38
823,4,8,2019,MW_gen,75.38
824,4,9,2019,MW_gen,47.18
825,4,10,2019,MW_gen,35.77
826,4,11,2019,MW_gen,11.88
827,4,12,2019,MW_gen,5.64
828,4,1,2019,MW_gen,2.55
829,4,2,2019,MW_gen,3.67
830,4,3,2019,MW_gen,8.99
831,4,4,2019,MW_gen,11.59
832,4,5,2019,MW_gen,14.31
833,4,6,2019,MW_gen,17.92
834,4,7,2019,MW_gen,19.68
835,4,8,2019,MW_gen,18.22
836,4,9,2019,MW_gen,11.4
837,4,10,2019,MW_gen,9.23
838,4,11,2019,MW_gen,2.54
839,4,12,2019,MW_gen,1.01
840,4,1,2019,MW_gen,3.86
841,4,2,2019,MW_gen,8.47
842,4,3,2019,MW_gen,23.7
843,4,4,2019,MW_gen,24.37
844,4,5,2019,MW_gen,31.28
845,4,6,2019,MW_gen,38.87
846,4,7,2019,MW_gen,43.47
847,4,8,2019,MW_gen,37.66
848,4,9,2019,MW_gen,24.53
849,4,10,2019,MW_gen,19.58
850,4,11,2019,MW_gen,6.97
851,4,12,2019,MW_gen,4.04
852,4,1,2019,MW_gen,10.26
853,4,2,2019,MW_gen,14.66
854,4,3,2019,MW_gen,36.25
855,4,4,2019,MW_gen,35.86
856,4,5,2019,MW_gen,46.55
857,4,6,2019,MW_gen,56.3
858,4,7,2019,MW_gen,59.86
859,4,8,2019,MW_gen,49.1
860,4,9,2019,MW_gen,40.42
861,4,10,2019,MW_gen,27.03
862,4,11,2019,MW_gen,9.0
863,4,12,2019,MW_gen,5.16
864,4,1,2019,MW_gen,8.46
865,4,2,2019,MW_gen,10.75
866,4,3,2019,MW_gen,27.55
867,4,4,2019,MW_gen,27.28
868,4,5,2019,MW_gen,35.38
869,4,6,2019,MW_gen,44.83
870,4,7,2019,MW_gen,46.98
871,4,8,2019,MW_gen,44.09
872,4,9,2019,MW_gen,30.17
873,4,10,2019,MW_gen,24.37
874,4,11,2019,MW_gen,9.38
875,4,12,2019,MW_gen,3.78
876,4,1,2019,MW_gen,7.75
877,4,2,2019,MW_gen,10.1
878,4,3,2019,MW_gen,23.45
879,4,4,2019,MW_gen,22.18
880,4,5,2019,MW_gen,29.59
881,4,6,2019,MW_gen,37.78
882,4,7,2019,MW_gen,35.48
883,4,8,2019,MW_gen,33.81
884,4,9,2019,MW_gen,25.34
885,4,10,2019,MW_gen,19.97
886,4,11,2019,MW_gen,7.98
887,4,12,2019,MW_gen,3.19
888,4,1,2019,MW_gen,4.94
889,4,2,2019,MW_gen,6.11
890,4,3,2019,MW_gen,17.3
891,4,4,2019,MW_gen,16.52
892,4,5,2019,MW_gen,21.6
893,4,6,2019,MW_gen,26.3
894,4,7,2019,MW_gen,27.93
895,4,8,2019,MW_gen,25.08
896,4,9,2019,MW_gen,18.05
897,4,10,2019,MW_gen,14.77
898,4,11,2019,MW_gen,5.89
899,4,12,2019,MW_gen,2.73
1876,4,1,2019,weather_adj,2.17
1877,4,2,2019,weather_adj,5.42
1878,4,3,2019,weather_adj,12.19
1879,4,4,2019,weather_adj,16.79
1880,4,5,2019,weather_adj,18.05
1881,4,6,2019,weather_adj,22.07
1882,4,7,2019,weather_adj,24.56
1883,4,8,2019,weather_adj,23.53
1884,4,9,2019,weather_adj,14.59
1885,4,10,2019,weather_adj,10.6
1886,4,11,2019,weather_adj,3.81
1887,4,12,2019,weather_adj,2.36
1888,4,1,2019,weather_adj,6.74
1889,4,2,2019,weather_adj,16.85
1890,4,3,2019,weather_adj,37.71
1891,4,4,2019,weather_adj,52.27
1892,4,5,2019,weather_adj,56.35
1893,4,6,2019,weather_adj,69.18
1894,4,7,2019,weather_adj,77.12
1895,4,8,2019,weather_adj,73.69
1896,4,9,2019,weather_adj,45.49
1897,4,10,2019,weather_adj,32.85
1898,4,11,2019,weather_adj,11.78
1899,4,12,2019,weather_adj,7.29
1900,4,1,2019,weather_adj,1.52
1901,4,2,2019,weather_adj,3.17
1902,4,3,2019,weather_adj,7.26
1903,4,4,2019,weather_adj,11.64
1904,4,5,2019,weather_adj,12.92
1905,4,6,2019,weather_adj,15.18
1906,4,7,2019,weather_adj,16.76
1907,4,8,2019,weather_adj,15.7
1908,4,9,2019,weather_adj,9.57
1909,4,10,2019,weather_adj,9.43
1910,4,11,2019,weather_adj,2.6
1911,4,12,2019,weather_adj,1.38
1912,4,1,2019,weather_adj,6.56
1913,4,2,2019,weather_adj,8.37
1914,4,3,2019,weather_adj,19.34
1915,4,4,2019,weather_adj,23.56
1916,4,5,2019,weather_adj,30.25
1917,4,6,2019,weather_adj,37.76
1918,4,7,2019,weather_adj,41.23
1919,4,8,2019,weather_adj,39.54
1920,4,9,2019,weather_adj,26.74
1921,4,10,2019,weather_adj,22.86
1922,4,11,2019,weather_adj,9.97
1923,4,12,2019,weather_adj,3.99
1924,4,1,2019,weather_adj,13.77
1925,4,2,2019,weather_adj,14.14
1926,4,3,2019,weather_adj,36.1
1927,4,4,2019,weather_adj,35.77
1928,4,5,2019,weather_adj,43.39
1929,4,6,2019,weather_adj,57.6
1930,4,7,2019,weather_adj,60.03
1931,4,8,2019,weather_adj,58.25
1932,4,9,2019,weather_adj,40.29
1933,4,10,2019,weather_adj,33.43
1934,4,11,2019,weather_adj,15.79
1935,4,12,2019,weather_adj,5.13
1936,4,1,2019,weather_adj,10.44
1937,4,2,2019,weather_adj,10.98
1938,4,3,2019,weather_adj,27.39
1939,4,4,2019,weather_adj,27.82
1940,4,5,2019,weather_adj,35.41
1941,4,6,2019,weather_adj,44.62
1942,4,7,2019,weather_adj,46.52
1943,4,8,2019,weather_adj,44.84
1944,4,9,2019,weather_adj,31.18
1945,4,10,2019,weather_adj,26.73
1946,4,11,2019,weather_adj,8.7
1947,4,12,2019,weather_adj,3.8
1948,4,1,2019,weather_adj,8.35
1949,4,2,2019,weather_adj,8.8
1950,4,3,2019,weather_adj,22.86
1951,4,4,2019,weather_adj,22.33
1952,4,5,2019,weather_adj,28.42
1953,4,6,2019,weather_adj,35.83
1954,4,7,2019,weather_adj,37.36
1955,4,8,2019,weather_adj,36.0
1956,4,9,2019,weather_adj,25.02
1957,4,10,2019,weather_adj,19.61
1958,4,11,2019,weather_adj,6.94
1959,4,12,2019,weather_adj,3.26
1960,4,1,2019,weather_adj,5.99
1961,4,2,2019,weather_adj,6.35
1962,4,3,2019,weather_adj,15.78
1963,4,4,2019,weather_adj,15.78
1964,4,5,2019,weather_adj,20.1
1965,4,6,2019,weather_adj,25.25
1966,4,7,2019,weather_adj,27.55
1967,4,8,2019,weather_adj,25.34
1968,4,9,2019,weather_adj,17.7
1969,4,10,2019,weather_adj,11.65
1970,4,11,2019,weather_adj,5.95
