,plant_id,month,year,Source,Generation
444,2,1,2019,MW_gen,1.35
445,2,2,2019,MW_gen,33.9
446,2,3,2019,MW_gen,20.37
447,2,4,2019,MW_gen,31.3
448,2,5,2019,MW_gen,35.36
449,2,6,2019,MW_gen,43.17
450,2,7,2019,MW_gen,50.78
451,2,8,2019,MW_gen,46.05
452,2,9,2019,MW_gen,33.98
453,2,10,2019,MW_gen,24.27
454,2,11,2019,MW_gen,11.4
455,2,12,2019,MW_gen,5.78
1516,2,1,2019,weather_adj,13.12
1517,2,2,2019,weather_adj,19.59
1518,2,3,2019,weather_adj,19.32
1519,2,4,2019,weather_adj,30.43
1520,2,5,2019,weather_adj,34.86
1521,2,6,2019,weather_adj,42.63
1522,2,7,2019,weather_adj,50.53
1523,2,8,2019,weather_adj,45.08
1524,2,9,2019,weather_adj,31.94
1525,2,10,2019,weather_adj,23.39
1526,2,11,2019,weather_adj,10.78
1527,2,12,2019,weather_adj,5.83
2588,2,1,2019,pv_syst,14.03
2589,2,2,2019,pv_syst,19.59
2590,2,3,2019,pv_syst,32.65
2591,2,4,2019,pv_syst,38.82
2592,2,5,2019,pv_syst,43.84
2593,2,6,2019,pv_syst,44.24
2594,2,7,2019,pv_syst,45.1
2595,2,8,2019,pv_syst,39.85
2596,2,9,2019,pv_syst,31.86
2597,2,10,2019,pv_syst,24.56
2598,2,11,2019,pv_syst,14.29
2599,2,12,2019,pv_syst,12.18
