,plant_id,month,year,Source,Generation
504,7,1,2019,MW_gen,15.03
505,7,2,2019,MW_gen,16.88
506,7,3,2019,MW_gen,34.37
507,7,4,2019,MW_gen,30.48
508,7,5,2019,MW_gen,38.41
509,7,6,2019,MW_gen,46.02
510,7,7,2019,MW_gen,48.42
511,7,8,2019,MW_gen,47.22
512,7,9,2019,MW_gen,35.11
513,7,10,2019,MW_gen,23.17
514,7,11,2019,MW_gen,12.58
515,7,12,2019,MW_gen,10.26
1576,7,1,2019,weather_adj,11.91
1577,7,2,2019,weather_adj,12.9
1578,7,3,2019,weather_adj,31.24
1579,7,4,2019,weather_adj,26.86
1580,7,5,2019,weather_adj,36.36
1581,7,6,2019,weather_adj,44.28
1582,7,7,2019,weather_adj,45.32
1583,7,8,2019,weather_adj,43.89
1584,7,9,2019,weather_adj,29.05
1585,7,10,2019,weather_adj,26.71
1586,7,11,2019,weather_adj,13.14
1587,7,12,2019,weather_adj,10.49
2648,7,1,2019,pv_syst,14.77
2649,7,2,2019,pv_syst,19.72
2650,7,3,2019,pv_syst,31.29
2651,7,4,2019,pv_syst,37.79
2652,7,5,2019,pv_syst,42.97
2653,7,6,2019,pv_syst,45.48
2654,7,7,2019,pv_syst,45.34
2655,7,8,2019,pv_syst,40.67
2656,7,9,2019,pv_syst,32.72
2657,7,10,2019,pv_syst,25.42
2658,7,11,2019,pv_syst,15.29
2659,7,12,2019,pv_syst,12.2
