,plant_id,month,year,Source,Generation
600,15,1,2019,MW_gen,16.29
601,15,2,2019,MW_gen,18.02
602,15,3,2019,MW_gen,35.31
603,15,4,2019,MW_gen,35.24
604,15,5,2019,MW_gen,38.49
605,15,6,2019,MW_gen,44.69
606,15,7,2019,MW_gen,38.59
607,15,8,2019,MW_gen,44.42
608,15,9,2019,MW_gen,34.01
609,15,10,2019,MW_gen,25.05
610,15,11,2019,MW_gen,12.26
611,15,12,2019,MW_gen,8.18
1672,15,1,2019,weather_adj,11.85
1673,15,2,2019,weather_adj,8.75
1674,15,3,2019,weather_adj,34.58
1675,15,4,2019,weather_adj,33.27
1676,15,5,2019,weather_adj,37.43
1677,15,6,2019,weather_adj,44.5
1678,15,7,2019,weather_adj,49.57
1679,15,8,2019,weather_adj,41.89
1680,15,9,2019,weather_adj,30.24
1681,15,10,2019,weather_adj,25.46
1682,15,11,2019,weather_adj,11.03
1683,15,12,2019,weather_adj,8.06
2744,15,1,2019,pv_syst,14.7
2745,15,2,2019,pv_syst,19.76
2746,15,3,2019,pv_syst,31.78
2747,15,4,2019,pv_syst,37.83
2748,15,5,2019,pv_syst,43.31
2749,15,6,2019,pv_syst,43.01
2750,15,7,2019,pv_syst,45.01
2751,15,8,2019,pv_syst,39.86
2752,15,9,2019,pv_syst,32.45
2753,15,10,2019,pv_syst,25.73
2754,15,11,2019,pv_syst,14.92
2755,15,12,2019,pv_syst,12.03
