,plant_id,month,year,Source,Generation
576,13,1,2019,MW_gen,0.24
577,13,2,2019,MW_gen,1.16
578,13,3,2019,MW_gen,31.61
579,13,4,2019,MW_gen,37.0
580,13,5,2019,MW_gen,40.58
581,13,6,2019,MW_gen,48.81
582,13,7,2019,MW_gen,48.11
583,13,8,2019,MW_gen,37.74
584,13,9,2019,MW_gen,24.29
585,13,10,2019,MW_gen,22.02
586,13,11,2019,MW_gen,10.02
587,13,12,2019,MW_gen,6.24
1648,13,1,2019,weather_adj,3.85
1649,13,2,2019,weather_adj,6.06
1650,13,3,2019,weather_adj,28.08
1651,13,4,2019,weather_adj,31.95
1652,13,5,2019,weather_adj,37.99
1653,13,6,2019,weather_adj,42.94
1654,13,7,2019,weather_adj,46.61
1655,13,8,2019,weather_adj,41.1
1656,13,9,2019,weather_adj,23.69
1657,13,10,2019,weather_adj,23.25
1658,13,11,2019,weather_adj,10.39
1659,13,12,2019,weather_adj,6.38
2720,13,1,2019,pv_syst,10.86
2721,13,2,2019,pv_syst,21.2
2722,13,3,2019,pv_syst,28.86
2723,13,4,2019,pv_syst,39.59
2724,13,5,2019,pv_syst,45.72
2725,13,6,2019,pv_syst,43.46
2726,13,7,2019,pv_syst,43.0
2727,13,8,2019,pv_syst,37.29
2728,13,9,2019,pv_syst,29.04
2729,13,10,2019,pv_syst,20.05
2730,13,11,2019,pv_syst,13.92
2731,13,12,2019,pv_syst,10.33
