,plant_id,month,year,Source,Generation
468,4,1,2019,MW_gen,1.09
469,4,2,2019,MW_gen,0.21
470,4,3,2019,MW_gen,21.79
471,4,4,2019,MW_gen,35.49
472,4,5,2019,MW_gen,35.74
473,4,6,2019,MW_gen,45.28
474,4,7,2019,MW_gen,44.75
475,4,8,2019,MW_gen,39.34
476,4,9,2019,MW_gen,30.01
477,4,10,2019,MW_gen,21.63
478,4,11,2019,MW_gen,8.29
479,4,12,2019,MW_gen,1.18
1540,4,1,2019,weather_adj,4.97
1541,4,2,2019,weather_adj,8.88
1542,4,3,2019,weather_adj,18.58
1543,4,4,2019,weather_adj,33.55
1544,4,5,2019,weather_adj,35.29
1545,4,6,2019,weather_adj,41.33
1546,4,7,2019,weather_adj,46.06
1547,4,8,2019,weather_adj,41.88
1548,4,9,2019,weather_adj,27.13
1549,4,10,2019,weather_adj,22.17
1550,4,11,2019,weather_adj,7.17
1551,4,12,2019,weather_adj,1.17
2612,4,1,2019,pv_syst,8.56
2613,4,2,2019,pv_syst,13.81
2614,4,3,2019,pv_syst,29.95
2615,4,4,2019,pv_syst,37.99
2616,4,5,2019,pv_syst,45.07
2617,4,6,2019,pv_syst,43.73
2618,4,7,2019,pv_syst,43.89
2619,4,8,2019,pv_syst,37.56
2620,4,9,2019,pv_syst,28.2
2621,4,10,2019,pv_syst,22.69
2622,4,11,2019,pv_syst,13.98
2623,4,12,2019,pv_syst,9.05
