plant_id,portfolio,month,year,MW_gen,pv_syst,irradiance,pv_irradiance,weather_adj,,
1,1,1,2016,0,,,,,,
1,1,2,2016,0,,,,,,
1,1,3,2016,3.68,,,,,,
1,1,4,2016,16.41,,,,,,
1,1,5,2016,42.3,,,,,,
1,1,6,2016,52.49,,,,,,
1,1,7,2016,49.4,,,,,,
1,1,8,2016,44.54,,,,,,
1,1,9,2016,36.78,,,,,,
1,1,10,2016,31.54,,,,,,
1,1,11,2016,24.51,,,,,,
1,1,12,2016,12.61,,,,,,
1,1,1,2017,11.83,,,,,,
1,1,2,2017,25.97,,,,,,
1,1,3,2017,33.78,,,,,,
1,1,4,2017,39.64,,,,,,
1,1,5,2017,45.01,,,,,,
1,1,6,2017,47.06,,,,,,
1,1,7,2017,46.65,,,,,,
1,1,8,2017,31.12,,,,,,
1,1,9,2017,37.69,,,,,,
1,1,10,2017,27.77,,,,,,
1,1,11,2017,19.74,,,,,,
1,1,12,2017,11.5,,,,,,
2,1,1,2017,2.75,,,,,,
2,1,2,2017,9.3,,,,,,
2,1,3,2017,34.65,,,,,,
2,1,4,2017,29.28,,,,,,
2,1,5,2017,24.91,,,,,,
2,1,6,2017,40.7,,,,,,
2,1,7,2017,39.86,,,,,,
2,1,8,2017,41.35,,,,,,
2,1,9,2017,37.44,,,,,,
2,1,10,2017,24.9,,,,,,
2,1,11,2017,11.98,,,,,,
2,1,12,2017,3.38,,,,,,
3,1,1,2017,7.83,,,,,,
3,1,2,2017,13.38,,,,,,
3,1,3,2017,38.58,,,,,,
3,1,4,2017,32.27,,,,,,
3,1,5,2017,35.6,,,,,,
3,1,6,2017,41.42,,,,,,
3,1,7,2017,46.68,,,,,,
3,1,8,2017,36.72,,,,,,
3,1,9,2017,34.24,,,,,,
3,1,10,2017,25.82,,,,,,
3,1,11,2017,7.05,,,,,,
3,1,12,2017,9.7,,,,,,
4,1,1,2017,4.13,,,,,,
4,1,2,2017,10.53,,,,,,
4,1,3,2017,36.25,,,,,,
4,1,4,2017,34.52,,,,,,
4,1,5,2017,38.97,,,,,,
4,1,6,2017,39.95,,,,,,
4,1,7,2017,43.35,,,,,,
4,1,8,2017,38.8,,,,,,
4,1,9,2017,34.32,,,,,,
4,1,10,2017,25.73,,,,,,
4,1,11,2017,8.6,,,,,,
4,1,12,2017,2.37,,,,,,
5,1,1,2017,0.72,,,,,,
5,1,2,2017,4.69,,,,,,
5,1,3,2017,30.13,,,,,,
5,1,4,2017,32.1,,,,,,
5,1,5,2017,33.96,,,,,,
5,1,6,2017,37.42,,,,,,
5,1,7,2017,39.34,,,,,,
5,1,8,2017,35.28,,,,,,
5,1,9,2017,30.84,,,,,,
5,1,10,2017,23.21,,,,,,
5,1,11,2017,4.78,,,,,,
5,1,12,2017,1.25,,,,,,
6,1,1,2017,0.63,,,,,,
6,1,2,2017,3.44,,,,,,
6,1,3,2017,29.09,,,,,,
6,1,4,2017,20.63,,,,,,
6,1,5,2017,29.29,,,,,,
6,1,6,2017,37.44,,,,,,
6,1,7,2017,45.36,,,,,,
6,1,8,2017,39.84,,,,,,
6,1,9,2017,35.49,,,,,,
6,1,10,2017,26.92,,,,,,
6,1,11,2017,6.8,,,,,,
6,1,12,2017,1.88,,,,,,
7,1,1,2017,12.07,,,,,,
7,1,2,2017,21.82,,,,,,
7,1,3,2017,25.85,,,,,,
7,1,4,2017,28.49,,,,,,
7,1,5,2017,38.54,,,,,,
7,1,6,2017,46.3,,,,,,
7,1,7,2017,41.91,,,,,,
7,1,8,2017,40.41,,,,,,
7,1,9,2017,39.65,,,,,,
7,1,10,2017,26.59,,,,,,
7,1,11,2017,17.73,,,,,,
7,1,12,2017,10.59,,,,,,
8,1,1,2017,10.99,,,,,,
8,1,2,2017,14.38,,,,,,
8,1,3,2017,26.74,,,,,,
8,1,4,2017,31.29,,,,,,
8,1,5,2017,35.75,,,,,,
8,1,6,2017,40.32,,,,,,
8,1,7,2017,42.66,,,,,,
8,1,8,2017,42.3,,,,,,
8,1,9,2017,40.35,,,,,,
8,1,10,2017,25.55,,,,,,
8,1,11,2017,15.11,,,,,,
8,1,12,2017,4.42,,,,,,
9,1,1,2017,10.7,,,,,,
9,1,2,2017,21.83,,,,,,
9,1,3,2017,26.37,,,,,,
9,1,4,2017,39.52,,,,,,
9,1,5,2017,41.85,,,,,,
9,1,6,2017,46.39,,,,,,
9,1,7,2017,48.78,,,,,,
9,1,8,2017,44.75,,,,,,
9,1,9,2017,38.74,,,,,,
9,1,10,2017,16.87,,,,,,
9,1,11,2017,20.2,,,,,,
9,1,12,2017,12.67,,,,,,
10,1,1,2017,4.48,,,,,,
10,1,2,2017,12.13,,,,,,
10,1,3,2017,28.81,,,,,,
10,1,4,2017,39.81,,,,,,
10,1,5,2017,45.25,,,,,,
10,1,6,2017,47.02,,,,,,
10,1,7,2017,49.04,,,,,,
10,1,8,2017,44.92,,,,,,
10,1,9,2017,36.2,,,,,,
10,1,10,2017,28.14,,,,,,
10,1,11,2017,20.26,,,,,,
10,1,12,2017,13.23,,,,,,
12,1,1,2017,11.73,,,,,,
12,1,2,2017,17.57,,,,,,
12,1,3,2017,31.16,,,,,,
12,1,4,2017,32.44,,,,,,
12,1,5,2017,38.23,,,,,,
12,1,6,2017,38.89,,,,,,
12,1,7,2017,37.1,,,,,,
12,1,8,2017,36.41,,,,,,
12,1,9,2017,39.73,,,,,,
12,1,10,2017,25.88,,,,,,
12,1,11,2017,13.8,,,,,,
12,1,12,2017,9.61,,,,,,
13,1,1,2017,11,,,,,,
13,1,2,2017,15.53,,,,,,
13,1,3,2017,30.81,,,,,,
13,1,4,2017,31.02,,,,,,
13,1,5,2017,39.4,,,,,,
13,1,6,2017,40.61,,,,,,
13,1,7,2017,48.12,,,,,,
13,1,8,2017,40.03,,,,,,
13,1,9,2017,29.01,,,,,,
13,1,10,2017,23.4,,,,,,
13,1,11,2017,8.1,,,,,,
13,1,12,2017,9.89,,,,,,
14,1,1,2017,1.11,,,,,,
14,1,2,2017,6.32,,,,,,
14,1,3,2017,31.02,,,,,,
14,1,4,2017,32.5,,,,,,
14,1,5,2017,36.7,,,,,,
14,1,6,2017,37.14,,,,,,
14,1,7,2017,42.18,,,,,,
14,1,8,2017,35.14,,,,,,
14,1,9,2017,33.25,,,,,,
14,1,10,2017,25.01,,,,,,
14,1,11,2017,7.39,,,,,,
14,1,12,2017,2.53,,,,,,
15,1,1,2017,11.92,,,,,,
15,1,2,2017,10.48,,,,,,
15,1,3,2017,10.82,,,,,,
15,1,4,2017,18.09,,,,,,
15,1,5,2017,31.43,,,,,,
15,1,6,2017,36.66,,,,,,
15,1,7,2017,41.2,,,,,,
15,1,8,2017,39.71,,,,,,
15,1,9,2017,35.4,,,,,,
15,1,10,2017,25.32,,,,,,
15,1,11,2017,15.48,,,,,,
15,1,12,2017,6.58,,,,,,
16,1,1,2017,12.41,,,,,,
16,1,2,2017,16.86,,,,,,
16,1,3,2017,28.53,,,,,,
16,1,4,2017,33.57,,,,,,
16,1,5,2017,34.09,,,,,,
16,1,6,2017,39.11,,,,,,
16,1,7,2017,41.77,,,,,,
16,1,8,2017,42.09,,,,,,
16,1,9,2017,39.42,,,,,,
16,1,10,2017,26.85,,,,,,
16,1,11,2017,15.34,,,,,,
16,1,12,2017,7.06,,,,,,
17,1,1,2017,10.23,,,,,,
17,1,2,2017,14.17,,,,,,
17,1,3,2017,23.26,,,,,,
17,1,4,2017,23.76,,,,,,
17,1,5,2017,29.54,,,,,,
17,1,6,2017,36.64,,,,,,
17,1,7,2017,39.44,,,,,,
17,1,8,2017,34.02,,,,,,
17,1,9,2017,34.57,,,,,,
17,1,10,2017,23.02,,,,,,
17,1,11,2017,9.7,,,,,,
17,1,12,2017,7.25,,,,,,
18,1,1,2017,,,,,,,
18,1,2,2017,,,,,,,
18,1,3,2017,,,,,,,
18,1,4,2017,,,,,,,
18,1,5,2017,,,,,,,
18,1,6,2017,,,,,,,
18,1,7,2017,,,,,,,
18,1,8,2017,,,,,,,
18,1,9,2017,,,,,,,
18,1,10,2017,,,,,,,
18,1,11,2017,,,,,,,
18,1,12,2017,,,,,,,
1,1,1,2018,17.3,9.25,,,,,
1,1,2,2018,15.43,10.4,,,,,
1,1,3,2018,38.9,13.17,,,,,
1,1,4,2018,38.52,15.99,,,,,
1,1,5,2018,46.78,16.43,,,,,
1,1,6,2018,44.64,17.01,,,,,
1,1,7,2018,48.65,17.22,,,,,
1,1,8,2018,43.13,16.14,,,,,
1,1,9,2018,31.78,13.09,,,,,
1,1,10,2018,24.9,13.56,,,,,
